NOME-INSTITUICAO-EMPRESA,QUANTIDADE
COLEGIO ESTADUAL ROMARIO MARTINS,1
FACULDADE DE TECNOLOGIA DE PIRACICABA - CENTRO PAULA SOUZA,1
UNIVERSIDADE PEDAGOGICA DE MOCAMBIQUE-DELEGACAO DA BEIRA,1
INSTITUT DE CIENCIA DE MATERIALS DE BARCELONA,1
ARQUEOLOGISTICA - CONSULTORIA ARQUEOLOGICA,1
FACULDADE DE CIENCIAS JURIDICAS E SOCIAIS APLICADAS DO ARAGUAIA,1
"UNIVERSIDADE FEDERAL DO RIO DE JANEIRO, INSTITUTO DE CIENCIAS BIOMEDICAS",1
SECRETARIA DE ESTADO DE EDUCACAO DF,1
DE GANN ADVOCACIA,1
FACULDADE DE CIENCIAS APLICADAS,1
COORDENADORIA DE VIGILANCIA EM SAUDE DA SMS DE SAO PAULO-SP,1
FIOCRUZ - BRASILIA - DF,1
GRUPO MATULA TEATRO,1
PUCMINAS,1
CONSULTORIO ODONTOLOGICO PROPRIO,1
PM PLUS ASSESSORIA E TREINAMENTOS,1
COLEGIO ESTADUAL TERRA BOA,1
|LABORATORIO DE BIOQUIMICA BIOTECNOLOGIA E BIOPRODUTOS,1
TEIACOLLAB (LIVRO-EXPERIENCIA EDITORA COLABORATIVA),1
"INSTITUTO FEDERAL DE EDUCACAO,CIENCIA E TECNOLOGIA DO PARA CAMPUS CASTANHAL",1
SECRETARIA DE ESTADO DE EDUCACAO E QUALIDADE DE ENSINO DO AMAZONAS.,1
LANCE AGRONEGOCIO,1
ALLESSI & NICOLETTI ADVOGADOS ASSOCIADOS,1
PREFEITURA MUNICIPAL DE MOGI MIRIM,1
INSTITUTO FEDERAL DO CEARA - CAMPUS DE CRATEUS,1
TANQUE DE PROVAS NUMERICO,1
INSTITUTO NACIONAL DE METEOROLOGIA E GEOFISICA DE ANGOLA,1
CENTRO MEDICO-HOSPITALAR SUGISAWA,1
MAX-PLANCK-INSTITUT FUR BIOGEOCHEMIE - JENA,1
CENTRO DE MEDICINA REPRODUTIVA ORIGEN,1
INSTITUTO SENAI DE TECNOLOGIA EM MEIO AMBIENTE E QUIMICA,1
FACULDADE ANHANGUERA DE ITABUNA,1
HYDRO-ENGINEERING SOLUTIONS (HYDRO-LLC),1
CENTRO DE ESTUDOS SUPERIORES DE CAXIAS,1
MCGILL UNIVERISTY,1
PREFEITURA MUNICIPAL DE CARLOS BARBOSA,1
SECRETARIA MUNICIPAL DE EDUCACAO - SAO LUIS - MA,1
DEPARTAMENTO DE VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL - DVEA,1
COORDENACAO DE PESQUISA E PUBLICACOES ACADEMICAS,1
PREFEITURA MUNICIPAL DE NOVA LIMA,1
INSTITUTO FEDERAL DO CEARA - CAMPUS PECEM,1
ESCOLA DE ARTES CIENCIAS E HUMANIDADES DA USP,1
ERSE: CONSULTORIA SOCIETARIA.,1
ANTHONY LIMA ADVOCACIA E CONSULTORIA,1
CENTRO TECNOLOGICO DE SOLUCOES SUSTENTAVEIS,1
HOSPITAL UNIVERSITARIO DR. MIGUEL RIET CORREA JR./EBSERH,1
ICTIOLOGICA CONSULTORIA AMBIENTAL,1
IFSULDEMINAS CAMPUS PASSOS,1
"SECRETARIA MUNICIPAL DE CIENCIA, TECNOLOGIA, INOVACAO E DESENVOLVIMENTO SUSTENTAVEL",1
INSTITUTO FEDERAL DE RONDONIA - CAMPUS COLORADO DO OESTE,1
ARCLAN EQUIPAMENTOS DE PROTECAO INDIVIDUAL EIRELI,1
CENTRO UNIVERSTARIO ALFREDO NASSER,1
EE JOAO FERREIRA DE OLIVEIRA,1
SECETARIA DA EDUCACAO DO ESTADO  BAHIA,1
REAL HOSPITAL PORTUGUES DE BENEFICENCIA EM PERNAMBUCO,1
ENDOCLINICA,1
COLEGIO DA POLICIA MILITAR ANISIO TEIXEIRA,1
ACS EMPRESARIAL,1
GABINETE MILITAR DO GOVERNADOR,1
UNIVERSIDAD DEL ORIENTE CUBA,1
NUCLEO REGIONAL DE EDUCACAO DE CURITIBA,1
"INSTITUTO FEDEREAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO",1
GRUPO BRAVA,1
CLINICA REEQUILIBRIO,1
IFSC CAMPUS FLORIANOPOLIS,1
FILLIUM CENTRO MEDICO,1
SECRETARIA MUNICIPAL DE EDUCACAO DE FORTALEZA(CE),1
SECRETARIA DE JUSTICA E SEGURANCA,1
SECRETARIA DA ADMINISTRACAO DO ESTADO DA BAHIA,1
NUCLEO AMPLIAR,1
BELTRAMINI & GURGEL ADVOGADOS ASSOCIADOS,1
CEOL OTORRINO - CENTRO ESPECIALIZADO OTORRINOLARINGOLOGICO,1
CENTRO DE PESQUISA E EXTENSAO EM DIREITO SOCIOAMBIENTAL,1
UNIVERSIDADE DE TURIM,1
"GO SOLUCOES EM PROJETOS DE ARQUITETURA, PLANEJAMENTO E MOBILIDADE URBANA",1
LOYOLA UNIVERSITY NEW ORLEANS,1
SECRETARIA DE ESTADO DE ADMINISTRACAO,1
GRUPO DE SAUDE DE SAO JOSE DOS CAMPOS,1
BARTIRA ZANOTELLI - LINGUA FRANCESA E CULTURAS FRANCOFONAS,1
ESCOLA ESTADUAL MILITAR TIRADENTES. 2 SARG. WELITON DUARTE PEREIRA,1
FACULDADE DE TECNOLOGIA DE MOGI DAS CRUZES,1
ADVOCACIA E CONSULTORIA JURIDICA ELOUISE MILENI STECANELLA,1
INSTITUTO PAULISTA DE ESTUDOS E PESQUISAS EM OFTALMOLOGIA,1
TRIBUNAL REGIONAL ELEITORAL DE MATO GROSSO,1
UZINAS CHIMICAS BRASILEIRAS,1
FACULDADE CRISTA DA CIDADE,1
FACULDADE PAULISTA DE ARTES,1
JUNTA DE MISSOES MUNDIAIS - CONVENCAO BATISTA BRASILEIRA,1
INSTITUTO DE CARDIOLOGIA,1
"MATTER, BOETTCHER E ZANINI ADVOGADOS",1
TEXAS A&M UNIVERSITY KINGSVILLE,1
IGREJA PRESBITERIANA JARDIM GOIAS,1
ESCOLA DE VETERINARIA E ZOOTECNIA - UFG,1
EMPRESA DE TRENS URBANOS DE PORTO ALEGRE S.A.,1
SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL DE SAO JOSE DO RIO PRETO,1
IFCE CAMPUS AVANCADO JAGUARUANA,1
INSTITUTO FEDERAL DE EDUCACAO TECNOLOGICA DE SAO PAULO,1
CIPRIANO E MENEGHETTI ADVOGADOS ASSOCIADOS,1
PREVFOGO / IBAMA,1
ESPACO NEEDUS,1
SEMENTES OESTE PAULISTA,1
HANKEN SCHOOL OF ECONOMICS,1
CENTRO UNIVERSITARIO FUNDACAO EDUCACIONAL GUAXUPE,1
SEED E HOSPITAL REGIONAL PONTA GROSSA,1
"UNIVERSIDADE FEDERAL DE GOIAS, INSTITUTO DE CIENCIAS BIOLOGICAS.",1
BASE FLUVIAL DE LADARIO,1
CASTRO ALVES ADVOCACIA,1
HOSPITAL DAS CLINICAS DA FACULDADE E MEDICINA DE BOTUCATU,1
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIAS E TECNOLOG.",1
CAMARA DE VEREADORES DE CHARQUEADAS,1
"UNIVERSIDADE FEDERAL FLUMINENSE, INSTITUTO DE ARTES E COMUNICACAO SOCIAL",1
ESCOLA MUNICIPAL DE MUSICA MAESTRO IVAN SILVA,1
TRIBUNAL REGIONAL DO TRABALHO DA 19 REGIAO,1
DANIEL GOMES DE MIRANDA - SOCIEDADE UNIPESSOAL DE ADVOCACIA,1
FACULDADE ESTACIO DE CASTANHAL,1
SOLID CONSULT PHARMA,1
UPCONTROL ENGENHARIA DE PROCESSOS E CONTROLE DIGITAL,1
FRANCA ESCOLA TECNICA,1
MARCHI ODONTOLOGIA,1
ESCOLA POLITECNICA DAS FACULDADES,1
FACULDADES INTEGRADAS DE ARIQUEMES,1
ECOLE D'INGENIEURS DU CESI - CENTRE DE LA ROCHELLE,1
ASSEMBLEIA LEGISLATIVA DO ESTADO DA PARAIBA,1
TRADE MARKETING ASSESSORIA LTDA,1
ESCOLA DE   MUSICA DO MARANHAO LILAH LISBOA,1
COLEGIO ALFA,1
RODRIGO CHAVARI DE ARRUDA SOCIEDADE INDIVIDUAL DE ADVOCACIA,1
EEFM MONSENHOR MELO,1
SESAB,1
HOSPITAL UNIVERSITARIO ONOFRE LOPES DA UNIVERSIDADE FEDERAL DO RIO GRANDE D,1
INSTITUTO DE ONCOLOGIA DE SOROCABA,1
UNIVERSITE DE FRIBOURG,1
INSTITUT D IINVESTIGACIO EN CIENCIES DE LA SALUT GERMANS TRIAS I PUJOL,1
INSTITUTO PORTO ALEGRE,1
"MANESCO, RAMIRES, PEREZ, AZEVEDO MARQUES ADVOGADOS ASSOCIADOS",1
FACULDADES KENNEDY DE BELO HORIZONTE,1
UNIVERSIDADE FEDERAL DO RS,1
POLICIA CIVIL DO ESTADO DO CEARA,1
HOSPITAL DE CARIDADE DE IJUI,1
UNIVERSIDADE FEDERAL DA PARAABA,1
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO RIO DE JANIERO",1
JEFFERSON RAMOS RIBEIRO ADVOGADOS ASSOCIADOS,1
MAPLE BEAR,1
CENTRO UNIVERSITARIO EURIPIDES DE MARILIA,1
INSTITUTO DE CIRURGIA PLASTICA CRANIO FACIAL,1
JUSTICA FEDERAL DE PRIMEIRO GRAU NA PARAIBA,1
PROFESSOR FEBRONIO TANCREDO DE OLIVEIRA,1
CENTRO UNIVERSITARIO DE BRASILIA -UDF,1
DIEGO GARCIA MIRANDA,1
LABORATORIO DE MEDICINA EXPERIMENTAL E SAUDE,1
HOSPITAL DAS CLINICAS DA FACULDADE DE MEDICINA  UNIVERSIDADE DE SAO PAULO,1
PRODERME - PESQUISA & DESENVOLVIMENTO,1
DEPARTAMENTO DE MUSICA DA FFCLRP / USP,1
IFSP - CAMPUS SAO ROQUE,1
FUNDACAO DE ENSINO SUPERIOR DE GOIATUBA,1
CENTRO DE ENSINO SUPERIOR DO VALE DO SAO FRANCISCO,1
CENTRO UNIVERSITARIO CATOLICO DE VITORIA,1
EMEI MARIA PACHECO REZENDE,1
ACADEMIA BODY LINE,1
AMBIENTAL AMAZONIA - ENGENHARIA & CONSULTORIA,1
ESCOLA ESTADUAL SAO LUIZ,1
RHEINLAND-PFALZISCHE TECHNISCHE UNIVERSITAT,1
FOZ TROPICANA PARQUE DE AVES LTDA,1
UNIDADE ACADEMICA DE GARANHUNS,1
UNIVERSIDADE FEDERAL DO ESPIRITO SANTO - CAMPUS ALEGRE,1
UNIVERSIDADE ESTADUAL DO PARANA - FAFIPAR,1
INSTITUTO FEDERAL DE MINAS GERAIS: CAMPUS BAMBUI,1
AKADEMICKIE CENTRUM MATERIA&#322;OW I NANOTECHNOLOGII,1
FACULDADE PITAGORAS,1
CONSELHO ADMINISTRATIVO DE RECURSOS FISCAIS- CARF,1
UNIVERSIDADE DO ESTADO DA BAHIA - CAMPUS VIII,1
FUTURAGENE BRASIL TECNOLOGIA,1
CENTRO UNIVERSITARIO DA FUNDAAAO HERMINIO OMETTO,1
EXCELSUS STRUCTURAL SOLUTIONS,1
UNIVERSIDADE FEDERAL DO PARA - CAMPUS UNIVERSITARIO DO TOCANTINS/CAMETA,1
DEPARTAMENTO DE GEOGRAFIA DA UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,1
HOSPITAL SAO JOSE DO AVAI,1
NATURAL RESOURCES CANADA,1
FUNDACAO CULTURAL DO MUNICIPIO DE VARGINHA,1
AGENCIA REGULADORA DE SERVICOS PUBLICOS DO MUNICIPIO DE SAO PAULO,1
NEXO INTERVENCAO COMPORTAMENTAL,1
AGRICOLA FAMOSA LTDA,1
INSTITUTO BIOTROPICOS DE PESQUISA EM VIDA SILVESTRE,1
ESPACO THAIS PERSONAL,1
PROGRAMA DE ENGENHARIA METALURGICA E DE MATERIAIS - COPPE - UFRJ,1
SECRETARIA MUNICIPAL DE ENSINO DE NOVA IGUACU,1
ADAM MICKIEWICZ UNIVERSITY,1
GRUPO HOSPITALAR CONCEICAO S/A,1
NUCLEO INTERFACE PSICOLOGIA CLINICA,1
INSTITUTO COMUM,1
ESCOLA DONA ARLETE MAGALHAES - SALVADOR,1
PSR SOLUCOES E CONSULTORIA EM ENERGIA LTDA.,1
ECCLO SANEAMENTO E PAISAGISMO ECOLOGICO,1
SUPERINTENDENCIA REGIONAL DO DNIT NO ESTADO DO RIO DE JANEIRO,1
CAMARA MUNICIPAL DE MONTE CARLO,1
HAVFORSKNINGSINSTITUTTET,1
GOMIDES CONSULTORIA EM MEIO AMBIENTE E SANEAMENTO LTDA,1
JODAS ORTODONTIA E CIRURGIA LTDA.,1
FUNGI BIOTECNOLOGIA LTDA,1
IBMEC-MG,1
CONSULTORIO DE PSICOLOGIA.PSICANALISE,1
ECO MEDICAL CENTER CARTAXO,1
FANEM LTDA.,1
CLINICA PERFIL,1
REPROBIOVET,1
"UNIVERSITY OF CALIFORNIA, DAVIS",1
PREFEITURA MUNICIPAL DE UBA,1
INSTITUTO FEDERAL DO CEARA - LIMOEIRO DO NORTE,1
CENTRO DE COMPONENTES SEMICONDUTORES E NANOTECNOLOGIAS,1
UNIVERSITY OF WYOMING,1
INSTITUTO FILIPPO SAMLDONE,1
CONSULTORO,1
ADVOGADO,1
CONSULTORIO DRA ISABELA MIRANDA,1
HOSPITAL SAO FRANCISCO MOGI GUACU-SP,1
HOSPITAL DA CIDADE,1
UNIVERSIDADE DE SAO PAULO - ZONA LESTE,1
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA SUL DE MINAS GERAIS",1
TEATRO MUNICIPAL DE SAO PAULO,1
GERENCIA GERAL DE SERVICOS DE APOIO DIAGNOSTICO-TERAPEUTICO E FISICA MEDICA,1
"SECRETARIA DE CIENCIA, TECNOLOGIA E INOVACAO DA BAHIA",1
HOSPITAL REGIONAL UNIMED - FORTALEZA,1
FACULDADE DE COMUNICACAO DA UFBA,1
DOTTI ADVOGADOS,1
UNIVERSIDADE FEDERAL DE JUIZ DE FORA - CAMPUS AVANCADO GV,1
FACULDADE DE EDUCACAO DA UNIVERSIDADE ESTADUAL DE CAMPINAS,1
ASSOCIACAO ONCAFARI,1
THE UNIVERSITY OF ALABAMA AT BIRMINGHAM,1
CENTRO DE NEUROLOGIA E CEFALEIA DO PIAUI LTDA,1
CENTRO INTERDISCIPLINAR PARA O TRATAMENTO DA DOR,1
HERALDO GARCIA VITTA SOCIEDADE INDIVIDUAL DE ADVOCACIA,1
SECRETARIA DE ESTADO - SEDUC,1
"SECRETARIA DE JUSTICA, DIREITOS HUMANOS E CIDADANIA",1
DA MINHA JANELA - GESTAO E PRODUCAO ARTISTICA E CIENTIFICA,1
"CENTRO UNIVERSITARIO DE ENSINO, CIENCIA E TECNOLOGIA DO PARANA - UNIENSINO",1
HOSPITAL DISTRITAL GONZAGA MOTA DE MESSEJANA,1
UNIVERSITAT AUTONOMA DE BARCELONA,1
REFRACTA - CLINICA DE OLHOS ESPECIALIZADA,1
"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS Y PECUARIAS",1
ESCOLA ESTADUAL LEOPOLDO SANTANA,1
SHELL BRASIL - MATRIZ,1
CLINICA D`ARTE,1
COLEGIO JOHANN GAUSS,1
SECRETARIA MUNICIPAL DE EDUCACAO MANAUS,1
UNESPAR - UNIVERSIDADE ESTADUAL DO PARANA - CAMPUS DE CAMPO MOURAO,1
FACULDADE DE TEOLOGIA E CIENCIAS,1
TRIBUNAL REGIONAL DO TRABALHO DA 3A REGIAO,1
PREFEITURA DO MUNICIPIO DE SAO GONCALO DOS CAMPOS,1
FUNDACAO CEARENSE DE APOIO AO DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO,1
MESH DIGITAL CENTER,1
HOSPITAL DE URGENCIA E EMERGENCIA DE RIO BRANCO,1
KLABIN S/A,1
UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO DA ZONA OESTE,1
LUCIANO FAVARO SOCIEDADE INDIVIDUAL DE ADVOCACIA,1
"UNIVERSIDADE DE SAO PAULO, USP, BRASIL",1
ESCOLA ESTADUAL PROFESSORA MARIA DE LOURDES GENTILLE STFANO,1
INSTITUTO DE ENSINO SUPERIOR E FORMACAO AVANCADA DE VITORIA,1
AGROTEG DIGITAL - CAFEICULTURA LUCRATIVA,1
ENSINO DIFERENTE,1
INSTITUTO DE BIOCIENCIAS - CAMPUS DE BOTUCATU,1
ARCADIS-HIDROAMBIENTE S.A.,1
FORTREA BRAZIL LIMITADA,1
LUDKEVITCH TOURINHO GOMES SOCIEDADE DE ADVOGADOS,1
ASSOCIACAO NUCLEO DE EDUCACAO AMBIENTAL DA BACIA DE CAMPOS,1
"INSTITUTO DE SAUDE COLETIVA, UNIVERSIDADE FEDERAL DA BAHIA",1
"MINISTERIO DA CIENCIA, TECNOLOGIA, INOVACOES E COMUNICACOES",1
HOSPITAL E CLINICA VIAS URINARIAS,1
CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DO RJ (CAMPUS NOVA FRIBURGO),1
EMPRESA DE PESQUISA AGROPECUARIA E EXTENSAO RURAL S/A,1
UNIVERSIDAD DE CUNDINAMARCA,1
EMEF MARIO MOURA E ALBUQUERQUE,1
GRUPO PARTICULAR DE ANESTESIA,1
SECRETARIA DE SAUDE DO ESTADO DE RORAIMA,1
PARQUE ZOOLOGICO NACIONAL DE CUBA,1
UNIVERSIDADE FEDERAL DE RIO DE JANEIRO,1
INSTITUTO TAQUARITINGUENSE DE ENSINO SUPERIOR,1
ESCRITORIO LOCAL DE MARACANA,1
KONEKSI INOVACAO AGRO LTDA,1
"CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA, FATEC",1
"UNIVERSIDADE DE BRASILIA, INSTITUTO DE FISICA.",1
CENTRO UNIVERSITARIO INTERNACIONAL UNINTER.,1
SECRETARIA MUNICIPAL DE SAUDE DE SAO JOSE DOS CAMPOS,1
ESCOLA TECNICA DE ARTES,1
CENTRE CONSULTORIA ENGENHARIA E TREINAMENTO LTDA.,1
FACULDADE DE ENFERMAGEM DA UNIVERSIDADE FEDERAL DE GOIAS,1
NUCLEO DO COMPORTAMENTO,1
CLINICA VIII PAR,1
FACULDADE DE TECNOLOGIA PROFESSOR FRANCISCO DE MOURA,1
ESCOLA MUNICIPAL PROFESSORA MARIA GONDIM DOS SANTOS,1
HOSPITAL GERAL EL KADRI,1
"INSTITUTO FEDERAL DE MINAS GERAIS, IFMG - CAMPUS AVANCADO PONTE NOVA",1
FACULDADE ESTACIO DE SA SANTA CATARINA,1
CENTRO DE ATENCAO PSICOSSOCIAL - CASA NORTE,1
INSTITUTO DE CIENCIAS MATEMATICAS E DE COMPUTACAO-UNIVERSIDADE DE SAO PAULO,1
COMPANHIA DE HABITACAO POPULAR DE CURITIBA,1
CAMPUS MINISTRO PETRONIO PORTELA,1
MEDINA E GUIMARAES ADVOGADOS ASSOCIADOS,1
HOSPITAL UNIMED RECIFE III,1
REDSOFT TECNOLOGIA LTDA,1
SHANTOU UNIVERSITY,1
FACULDADE CESMAC SERTAO,1
"INSTITUTE OF GENETICS, REPRODUCTION & DEVELOPMENT",1
JUSTICA FEDERAL DE PRIMEIRO GRAU DA 3A REGIAO,1
HOSPITAL UNIVERSITARIO RISOLETA TOLENTINO NEVES,1
HULDA CHAMBI | CONSULTORIA E ENSINO,1
SECRETARIA DE SAUDE DO ESTADO DE GOIAS,1
ESCOLA DE LETRAS DA UNIRIO,1
EMAIS EDITORA & LIVRARIA,1
INSTITUTO OCEANOGRAFICO USP,1
EEEP MARIA AUDAY VASCONCELOS NERY,1
CAGE - CENTRO AVACADO DE GASTROENTEROLOGIA E ENDOSCOPIA,1
ARQUIDIOCESE DE POUSO ALEGRE - MG,1
"FACULDADE DE CIENCIAS EXATAS, HUMANAS E DA SAUDE DO PIAUI",1
SECRETARIA MUNICIPAL DE SAUDE DE PONTA GROSSA,1
WEIZMANN INSTITUTE OF SCIENCE,1
CLINICA VETERINA SAO FRANCISCO,1
INSTITUTO FEDERAL DO MARANHAO - CAMPUS ACAILANDIA,1
LUZIA APARECIDA FERREIRA,1
"FACULDADE DE EDUCACAO, TEOLOGIA E BIOTECNOLOGIA",1
SECRETARIA MUNICIPAL DE SAUDE DAVINOPOLIS,1
APTA/INSTITUTO BIOLOGICO-CENTRO EXPERIMENTAL CENTRAL,1
CLINICA DO QUADRIL DO PARANA,1
ESCOLA CLASSE IPE,1
ETEC CONSELHEIRO ANTONIO PRADRO,1
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO PERNAMBUCO",1
FELIPE RODRIGUES XAVIER ADVOCACIA E CONSULTORIA JURIDICA,1
W. GABRIEL COMPANY,1
SECRETARIA MUNICIPAL DE SAUDE DE CANARANA,1
DEPARTMENT OF ENGINEERING AND PHYSICS,1
LEVE REEDUCACAO ALIMENTAR,1
VALE S.A,1
"FACULDADE DE HISTORIA, DIREITO E SERVICO SOCIAL",1
CONSELHO REGIONAL DE FISIOTERAPIA E TERAPIA OCUPACIONAL,1
HOSPITAL E MATERNIDADE DOUTOR FAUSTO VITERBO,1
ESCOLA MUNICIPAL FLAUSINA DE ASSUNCAO MARINHO,1
UNIVERSIDADE FEDERAL DO ESTADO DE RIO DE JANEIRO,1
CARTORIO DE REGISTRO CIVIL E TABELIONATO DE NOTAS,1
SECRETARIA DE ESTADO DA EDUCACAO E DESPORTO DO ESTADO DE RORAIMA,1
TRANSPORTADORA SALLUM,1
INTERNATIONAL INSTITUTE FOR SUSTAINABILITY,1
"MARTINI, MEDEIROS E TONETTO ADVOGADOS ASSOCIADOS",1
INSTITUTO DE PESQUISAS PSICOSSOCIAIS - SAPIENS,1
ESCOLA MUNICIPAL ALBERT EINSTEIN,1
REDE DE ENSINO DOCTUM,1
INSTITUTO UNIVERSITARIO UNA DE CATALAO,1
QUIROPRAXIA,1
HOSPITAL BENEFICENCIA PORTUGUESA - SAO PAULO,1
COLEGIO FRANCISCANO NOSSA SENHORA APARECIDA,1
UNIIVERSIDADE ESTADUAL DE LONDRINA,1
UNIVERSIDAD DEL PAIS VASCO / EUSKAL HERRIKO UNIBERTSITATEA,1
MEKATRONIK IND. COM. AUTOMACAO LTDA,1
ATELIE DA GICA,1
CENTRO DE ATENCAO PSICOSSOCIAL INFANTO JUVENIL (CAPSI CARIM/IPUB/UFRJ),1
"MIAMI UNIVERSITY, OHIO",1
"MIINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO",1
ESTUDIO ERLA,1
UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO - UNESP/FCAV,1
"INSTITUTO FEDERAL  DE EDUCACAO, CIENCIA E TECNOLOGIA DE PERNAMBUCO",1
INSTITUTO DE PESQUISAS TECNOLOGICAS DO ESTADO DE SAO PAULO S/A,1
FACULDADE DE DIREITO DA UFRGS,1
CEM MARIA IRACEMA MARTINS DE ANDRADE,1
MUSEU NACIONAL DO RIO DE JANEIRO - UFRJ,1
FACULDADE DE MEDICINA VETERINARIA E ZOOTECNIA (FMVZ) - USP,1
SECRETARIA MUNICIPAL DE EDUCACAO DE ITAPICURU,1
BIOVET VAXXINOVA,1
GINECOLOGIA,1
SECRETARIA MUNICIPAL DE EDUCACAO DE CANOAS,1
SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - PARA,1
EE PROFESSOR IDENE RODRIGUES DOS SANTOS,1
CIEP 285 - LUIZ JOSE DAFLON GOMES,1
21 DRE - SEDUC PA,1
CRMA CIRURGIA PLASTICA,1
ATMOS EDUCACAO - RECONCAVO LTDA,1
INSTITUTO TECNOLOGICO VALE (BELEM),1
AMBULATORIO DE DERMATOLOGIA SANITARIA,1
ESCOLA TECNICA ESTADUAL GOVERNADOR EDUARDO CAMPOS,1
DE JURE ADVOCACIA,1
INSTITUTO REGINA PACIS,1
HOSPITAL SAO PAULO,1
VISIONTECH MEDICAL OPTICS,1
UNIVERSIDADE FEDERAL DE SANTA MARIA CAMPUS CACHOEIRA DO SUL,1
HOSPITAL SAO RAFAEL RDSL,1
"INSIDE DIAGNOSIS, RESEARCH AND DEVELOPMENT",1
INSTITUTO FEDERAL DE CIENCIA E TECNOLOGIA  DO AMAZONAS,1
CONSELHO ESTADUAL DE EDUCACAO,1
SECRETARIA DE SAUDE DO DISTRITO FEDERAL - HOSPITAL DE BASE,1
CENTRO JUVENIL DE CIENCIA E CULTURA,1
COMBIO ENERGIA S.A.,1
INSTITUTO DE ESTUDOS SOCIAIS E POLITICOS / UERJ,1
CENTRO MEDICO DE CAMPINAS,1
TOKYO INSTITUTE OF TECHNOLOGY,1
UNIVERSIDADE ESTADUAL DE MONTES CLAROS - CAMPUS PROF. DARCY RIBEIRO,1
PROCURADORIA GERAL DO ESTADO DO MARANHAO,1
DIPARTIMENTO DI FISICA,1
ASSOCIACAO HOSPITAL DE CARIDADE DE IJUI,1
GRUPO DE SISTEMAS DE ENERGIA E INSTRUMENTACAO,1
PERGAMO CENTRO EDUCACIONAL,1
JUSTCA FEDERAL DE PRIMEIRO GRAU NA BAHIA,1
RR CLINICA E CIRURGIA,1
SERVICO SOCIAL DO COMERCIO - ADMINISTRACAO SAO PAULO (SP),1
ESCOLA MUNICIPAL RAUL VEIGA,1
CITY OF HOPE COMPREHENSIVE CANCER CENTER,1
NEDI TIA LERLEANE,1
MINES PARIS - UNIVERSITE PSL,1
INSTITUTO FEDERAL DO SUDESTE DE MINAS GERAIS - SAO JOAO DEL-REI/MG,1
SECRETARIA DE DESENVOLVIMENTO SOCIAL DO DISTRITO FEDERAL,1
COMANDO DA ACADEMIA DE POLICIA MILITAR,1
BENTLEY SYSTEMS BRASIL,1
SENAI / SERVICO NACIONAL DE APRENDIZAGEM INDUSTRIAL,1
"FACULDADE EVANGELICA DE TECNOLOGIA, CIENCIAS E BIOTECNOLOGIA DA CGADB",1
"RIBEIRO, CASTRO & SANTOS ADVOCACIA",1
EBERHARD KARLS UNIVERSITAT TUBINGEN,1
SECRETARIA DE ESTADO DA ADMINISTRACAO,1
JAQUES & VASQUES ADVOGADOS ASSOCIADOS,1
GRUPPALITA PSIQUICA - CLINICA PSICOLOGICA E CONSULTORIA,1
ESCOLA DE SAUDE PUBLICA DA BAHIA PROFESSOR JORGE NOVIS,1
MUSEU DE ARTE MODERNA DO RIO DE JANEIRO,1
WADSWORTH CENTER,1
PREFEITURA MUNICIPAL DE JAPIRA,1
COLEGIO DA FUNDACAO EDUCACIONAL DR. RAUL BAUAB,1
INSTITUTO DE ENDOCRINOLOGIA DO RECIFE,1
FUNDACAO TENIS,1
SHIOHARA LUBKE ADVOGADOS ASSOCIADOS,1
AGENCIA ESTADUAL DE MEIO AMBIENTE,1
CENTRO UNIVERSITARIO CATOLICO SALESIANO AUXILIUM DE ARACATUBA,1
FARMACIA DE ACAO JUDICIAL DO ESTADO DE PERNAMBUCO,1
UNIVERSIDADE DE SAO PAULO - USP/RP,1
FACULDADE CATHEDRAL BOA VISTA - RORAIMA,1
COLEGIO ESTADUAL LIANE MARTA DA COSTA,1
UNIAO DE EDUCACAO E CULTURA DE EUNAPOLIS,1
INSITUTO AHIMSA,1
SECRETARIA DE EDUCACAO E QUALIDADE TOTAL,1
CENTRO DE REFERENCIA EM TECNOLOGIAS SOCIAIS DO SERTAO (MG),1
AGENCIA ESTADUAL DE DEFESA SANITARIA ANIMAL E VEGE,1
FACULDADES XV DE AGOSTO,1
SAINT PAUL ESCOLA DE NEGOCIOS,1
CENTRO DE ODONTOLOGIA INTEGRADA,1
